id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
wiw382,"ISIS, ISIL or Daesh?",podcast about the origins of the word 'Daesh',https://audioboom.com/boos/3824674-isis-isil-or-daesh,audio/wiw382.mp3,transcripts/text/wiw382.text,transcripts/vtt/wiw382.vtt,transcripts/json/wiw382.json
wiw393,Eddie Izzard will make you laugh in four languages,Interview with Eddie Izzard about doing stand-up in multiple languages,https://audioboom.com/boos/4159472-eddie-izzard-will-make-you-laugh-in-four-languages,audio/wiw393.mp3,transcripts/text/wiw393.text,transcripts/vtt/wiw393.vtt,transcripts/json/wiw393.json
wiw391,"French comedian Gad Elmaleh leaves fame, fortune and French behind",Interview with Gad Elmaleh about learning to be funny in English.,https://audioboom.com/boos/4085368-moroccan-french-comic-gad-elmaleh-leaves-fame-and-french-behind,audio/wiw391.mp3,transcripts/text/wiw391.text,transcripts/vtt/wiw391.vtt,transcripts/json/wiw391.json
wiw386,Is bilingual better?,"English speakers may not realize it, but the world is full of people who speak more than one language. A couple of recent studies show that we begin to develop our ear for language — or languages — long before we learn to speak.",https://audioboom.com/boos/4257235-is-bilingual-better,audio/wiw386.mp3,transcripts/text/wiw386.text,transcripts/vtt/wiw386.vtt,transcripts/json/wiw386.json
wiw383,A tale of two linguists,Israeli linguist Arik Sadan is an authority on the Arabic language. Palestinian Sobhi Bahloul is Gaza's best-known Hebrew teacher. They share a love for the other's native tongue. But these two linguists have never met.,https://audioboom.com/boos/3854741-a-tale-of-two-linguists,audio/wiw383.mp3,transcripts/text/wiw383.text,transcripts/vtt/wiw383.vtt,transcripts/json/wiw383.json
wiw388,Speak Irish to me,"For centuries, colonialists, church leaders and educators discouraged Irish people from using their native tongue. When Ireland won independence, its leaders had no idea just how difficult it would be to bring the language back. Despite that, there's hope for Irish today.",https://audioboom.com/boos/4316241-speak-irish-to-me,audio/wiw388.mp3,transcripts/text/wiw388.text,transcripts/vtt/wiw388.vtt,transcripts/json/wiw388.json
wiw401,"Vikings, Yankees, and funny pronunciation","Think you know how to pronounce Berlin, New Hampshire? Think again.",https://audioboom.com/boos/4492205-vikings-yankees-and-funny-pronunciation,audio/wiw401.mp3,transcripts/text/wiw401.text,transcripts/vtt/wiw401.vtt,transcripts/json/wiw401.json
wiw367,The accent quiz that tested the world,"In 2011, an accent quiz went viral on YouTube. People around the world started posting videos reading a corpus of words and answering a set of questions. Many of the vloggers weren't even native speakers of English. Where did this quiz come from and why did it go viral?",https://audioboom.com/boos/3805833-the-accent-quiz-that-tested-the-world,audio/wiw367.mp3,transcripts/text/wiw367.text,transcripts/vtt/wiw367.vtt,transcripts/json/wiw367.json
